Restaurant_id,Total_orders,Popular_dish
211,7288,Tandoori Chicken
221,11672,Ledikeni
246,3045,Tandoori Chicken
248,6584,Papad
249,5803,Ariselu
254,6056,Dharwad pedha
258,6930,Muthiya
263,8061,Surnoli
267,6248,Chapati
308,11919,Aloo methi
435,13984,Samosa
446,2124,Poriyal
453,11579,Rajma chaval
464,13528,Dal tadka
504,4730,Gavvalu
604,14377,Amti
608,3690,Panjeeri
621,3904,Rabri
1050,11287,Goja
1299,1340,Chhena poda
1304,9198,Chevdo
1457,2872,Malapua
1547,8722,Pani Pitha
1590,7786,Farsi Puri
1593,13230,Farsi Puri
1609,14649,Poha
1617,12428,Gulab jamun
1844,7377,Idiappam
1848,10010,Haq Maas
1874,3294,Chhena jalebi
1884,11489,Aloo methi
2008,1355,Navrattan korma
2042,7372,Keri no ras
2047,6536,Daal puri
2102,13050,Lilva Kachori
2250,4338,Kansar
2312,9424,Farsi Puri
2344,9520,Kaju katli
2348,3198,Keerai sadam
2516,8990,Kootu
2770,7923,Copra paak
2776,6017,Pachadi
2777,5638,Cheera Doi
2795,13391,Gheela Pitha
2796,2179,Chikki
2811,12452,Mag Dhokli
2820,8434,Daal Dhokli
2824,2881,Tandoori Fish Tikka
2827,2028,Pinaca
2832,1091,Upma
2839,13103,Masor Koni
2840,2436,Namakpara
2843,4094,Sevai
2914,4581,Chikki
2915,11651,Chhena jalebi
2964,14193,Kakinada khaja
3007,4813,Aloo shimla mirch
3010,9981,Theeyal
3018,12964,Chikki
3020,7548,Payokh
3022,1637,Pani puri
3025,8024,Upma
3031,11813,Double ka meetha
3063,3696,Kheer sagar
3071,9460,Pakhala
3074,7413,Kootu
3207,4382,Sevai
3265,9175,Litti chokha
3279,12210,Petha
3324,978,Lauki ke kofte
3326,1019,Double ka meetha
3329,12971,Chicken Tikka
3331,8663,Attu
3332,12657,Sutar feni
3350,2847,Kabiraji
3369,7441,Paniyaram
3439,10243,Gatta curry
3454,6579,Boondi
3531,8236,Churma Ladoo
3549,12558,Chicken razala
3813,11618,Bengena Pitika
3830,4686,Shahi paneer
3835,4068,Turiya Patra Vatana sabji
3855,14227,Mysore pak
3889,9225,Keerai poriyal
3914,11665,Brown Rice
4051,2624,Doodhpak
4064,13792,Chicken Tikka
4086,9854,Chicken Tikka masala
4087,1116,Anarsa
4138,13027,Gulab jamun
4188,7288,Daal Dhokli
4248,13381,Vindaloo
4252,10082,Gatta curry
4256,3335,Chak Hao Kheer
4320,1844,Mohanthal
4338,5565,Rongi
4429,2451,Chorafali
4430,11662,Laddu
4484,8563,Lauki ke kofte
4558,1165,Shrikhand
4565,4045,Khaman
4587,1556,Muthiya
4599,3558,Maach Jhol
4600,1535,Thayir sadam
4614,6155,Upma
4650,8058,Kulfi falooda
4739,9880,Sattu ki roti
4774,1633,Dudhi halwa
4776,3885,Pattor
4781,11101,Panjeeri
4783,2185,Coconut vadi
4810,2420,Keerai masiyal
4841,4874,Koshambri
4853,8678,Currivepillai sadam 
4956,14008,Bora Sawul
5107,8796,Gud papdi
5119,5466,Kutchi dabeli
5120,10560,Methi na Gota
5139,9654,Pinaca
5150,14326,Upma
5157,5869,Cheera Doi
5172,9302,Shukto
5208,13768,Avial
5221,13226,Kulfi falooda
5247,1983,Shukto
5251,5900,Kulfi falooda
5255,10672,Chingri Bhape
5285,6504,Keerai kootu
5297,12145,Gajar ka halwa
5370,1064,Sheera
5408,11755,Kombdi vade
5496,3412,Puli sadam
5504,4338,Ghevar
5538,8051,Chhena kheeri
5549,10921,Thayir sadam
5573,9127,Paneer butter masala
5582,1460,Anarsa
5596,1515,Kaju katli
5624,5228,Handwo
5691,6026,Pattor
5743,13185,Paneer butter masala
5802,4103,Muthiya
5862,4519,Keerai sadam
5878,9650,Koldil Duck
5882,10742,Mushroom matar
5893,12742,Kanji
5908,9555,Khichu
5916,10150,Basundi
5989,12992,Bhindi masala
5994,7602,Puri Bhaji
6075,3421,Brown Rice
6328,9464,Laddu
6329,7073,Alu Pitika
6332,12476,Bombil fry
6345,6993,Saath
6358,7620,Bilahi Maas
6493,8721,Chakali
6518,13816,Navrattan korma
6577,11656,Aloo matar
6585,8351,Chevdo
6663,6501,Pootharekulu
6723,5194,Keerai sadam
6745,14742,Dudhi halwa
6775,13900,Keri no ras
6850,5572,Rasam
6851,7513,Shrikhand
6917,8817,Thepla
6924,11191,Kumol Sawul
7002,2869,Aloo gobi
7029,2039,Tandoori Chicken
7199,10280,Papadum
7204,4350,Anarsa
7341,10221,Sabudana Khichadi
7412,14487,Bajri no rotlo
7415,3209,Chorafali
7626,8989,Coconut vadi
7674,1968,Rasam
7689,7376,Shankarpali
7776,10301,Pav Bhaji
7784,12808,Aloo gobi
7826,14487,Beef Fry
7828,10411,Pork Bharta
7859,8623,Sukhdi
7898,7652,Puri Bhaji
7940,11969,Chicken Tikka
8009,5826,Laapsi
8040,1929,Gulab jamun
8046,9793,Rabri
8093,7551,Khichu
8139,6943,Naan
8175,12318,Sukhdi
8205,4908,Gavvalu
8213,6022,Gajar ka halwa
8241,2312,Kulfi falooda
8272,7821,Namakpara
8275,10411,Shrikhand
8323,11602,Keerai poriyal
8469,10694,Konir Dom
8501,8334,Bajri no rotlo
8587,11192,Kakinada khaja
8687,5944,Kadai paneer
8688,12294,Fara
8698,12929,Kombdi vade
8708,1503,Khaman
8751,9710,Koshambri
8766,9203,Rasgulla
8856,3261,Ghevar
8894,12908,Dhokla
8912,11842,Khorisa
8952,13975,Shrikhand
9014,5011,Idli
9035,5297,Anarsa
9052,7903,Bombil fry
9058,11063,Beef Fry
9098,10054,Kaju katli
9104,7429,Dudhi halwa
9113,9963,Chhena kheeri
9121,6176,Qubani ka meetha
9127,4143,Goja
9215,5603,Khandvi
9235,14866,Shahi tukra
9250,4780,Koshambri
9292,4720,Pesarattu
9304,12674,Galho
9317,10462,Sohan halwa
9344,10750,Chole bhature
9368,13520,Palak paneer
9371,8321,Laapsi
9390,14756,Copra paak
9415,14940,Kanji
9454,3204,Maach Jhol
9476,11703,Chicken Tikka masala
9502,3441,Upma
9577,12507,Jalebi
9739,4561,Adhirasam
9755,6288,Chicken Varuval
9757,8368,Bisi bele bath
9777,11047,Gajar ka halwa
9781,2125,Tandoori Chicken
9782,1255,Basundi
9786,7932,Chhena jalebi
9850,14070,Ras malai
9862,12596,Kaju katli
9883,9480,Sabudana Khichadi
9911,12043,Poornalu
9923,6800,Litti chokha
9932,5369,Ledikeni
9979,12957,Modak
9984,10928,Masala Dosa
10062,1999,Cham cham
10085,10408,Shahi tukra
10094,6619,Koshambri
10113,2796,Paravannam
10178,14872,Sutar feni
10186,4309,Aloo tikki
10208,4512,Kulfi falooda
10212,2531,Sohan papdi
10238,10038,Bisi bele bath
10275,1617,Tandoori Chicken
10285,5667,Palathalikalu
10298,7984,Amti
10312,4701,Til Pitha
10323,8229,Chak Hao Kheer
10327,8535,Til Pitha
10336,1127,Sohan papdi
10362,5251,Doodhpak
10367,1867,Daal baati churma
10376,9712,Attu
10389,5640,Panjeeri
10475,14085,Theeyal
10485,10832,Bhatura
10502,5539,Jalebi
10522,9771,Payokh
10525,3242,Kabiraji
10537,7988,Misti doi
10549,3379,Chakali
10575,7792,Currivepillai sadam 
10601,13710,Methi na Gota
10730,3215,Chakali
10731,14643,Ledikeni
10750,972,Paravannam
10806,7408,Vegetable jalfrezi
10834,7652,Dal makhani 
10847,5532,Mishti Chholar Dal
10852,10569,Butter chicken
10855,9903,Shukto
10951,4945,Muthiya
10972,10936,Unni Appam
11043,8701,Aloo gobi
11051,6773,Attu
11092,2983,Khaman
11162,5799,Keerai kootu
11188,14862,Kos kootu
11316,5747,Lyangcha
11322,8627,Qubani ka meetha
11510,8961,Dhokla
11553,6814,Daal baati churma
11615,3792,Kos kootu
11723,8617,Pinaca
11834,12472,Kuzhi paniyaram
11858,9485,Kumol Sawul
11929,10171,Aloo matar
11941,12462,Pesarattu
11943,13699,Chhena poda
12020,7705,Masala Dosa
12046,10139,Jalebi
12054,8528,Aloo methi
12181,4471,Veg Kolhapuri
12401,9682,Nankhatai
12434,13410,Palathalikalu
12457,3357,Gheela Pitha
12458,5568,Ras malai
12468,8778,Double ka meetha
12614,9571,Dahi vada
12624,4214,Bengena Pitika
12785,12563,Konir Dom
12952,11502,Ledikeni
12953,8258,Misi roti
13008,1341,Theeyal
13079,13022,Shukto
13103,12370,Kulfi falooda
13179,13101,Paneer tikka masala
13219,2887,Muthiya
13320,6768,Khaman
13434,4636,Chicken Tikka masala
13488,14119,Alu Pitika
13500,9019,Maach Jhol
13506,12882,Poha
13552,13421,Rajma chaval
13571,9353,Kachori
13578,8296,Modak
13713,4752,Laddu
13806,2318,Shufta
13940,4605,Dalithoy
14002,11086,Koshambri
14017,7297,Vegetable jalfrezi
14107,5986,Mishti Chholar Dal
14108,12473,Samosa
14133,6123,Amti
14160,8371,Laapsi
14333,2252,Naan
14725,12981,Uttapam
14894,13526,Puli sadam
14920,9372,Shufta
14941,13670,Khakhra
15012,1582,Kofta
15071,3660,Chapati
15083,5353,Gajar ka halwa
15089,6238,Boondi
15092,2476,Sandesh
15121,10453,Shankarpali
15234,5683,Copra paak
15265,8059,Payokh
15268,10952,Panjeeri
15287,7673,Kadai paneer
15367,14785,Sheera
15372,1507,Puli sadam
15409,13263,Chicken Tikka masala
15420,1385,Mohanthal
15553,11595,Khaman
15567,1181,Mohanthal
15617,1806,Galho
15666,4475,Rajma chaval
15706,2920,Upma
15794,8602,Kootu
15837,12717,Prawn malai curry
15846,1902,Gheela Pitha
15923,11279,Obbattu holige
15955,13797,Koshimbir
15963,5053,Hando Guri
16022,4023,Doodhpak
16102,11930,Kombdi vade
16107,8360,Goja
16118,7478,Unni Appam
16119,11654,Undhiyu
16141,5154,Kumol Sawul
16275,1095,Kos kootu
16281,9186,Kadhi pakoda
16296,4181,Vada
16328,5496,Chevdo
16341,3135,Lauki ki subji
16344,4879,Handwo
16392,4745,Poha
16394,3420,Sevai
